Date,lon,lat
2008-11-09,-76.9828,-39.6298
2008-11-09,-73.0895,-34.1697
2008-11-09,-72.0005,-33.6899
2008-11-09,160.7487,14.5557
2008-11-09,160.7487,14.5557
2008-11-09,159.2038,15.7948
2008-11-09,159.2038,15.7948
2008-11-09,157.5350,17.4933
2008-11-09,156.2200,19.3057
2008-11-09,155.4182,22.0512
2008-11-09,155.2417,23.9013
2008-12-02,155.2417,23.9013
2008-12-02,154.1482,25.1033
2009-01-09,152.2792,26.3580
2009-02-09,151.7820,26.7132
2009-03-07,150.3495,27.7877
2009-03-07,150.1943,27.8875
2009-04-07,150.1943,27.8875
2009-04-07,147.5900,30.0408
2009-04-07,143.7253,32.8888
2009-05-07,143.4250,32.9825
2009-05-21,143.4250,32.9825
2009-05-22,152.4600,32.1600
2009-05-23,153.1900,32.0400
2009-05-25,153.3833,32.0067
2009-06-15,153.2100,32.0400
2009-06-15,155.3300,31.0800
2009-06-16,156.1100,30.5800
2009-06-21,155.4600,31.0500
2009-06-21,157.5100,30.4100
2009-06-21,158.0191,30.4016
2009-06-21,158.0400,30.3900
2009-06-30,158.4217,30.2000
2009-07-07,158.5500,30.1200
2009-07-14,160.0116,30.0962
2009-07-14,160.5300,30.1400
2009-07-14,160.3900,30.1200
2009-07-14,161.3383,30.1916
2009-07-15,160.3090,30.1152
2009-07-15,163.0435,30.2556
2009-07-15,163.5900,30.2800
2009-07-15,164.2165,30.2949
2009-07-16,166.0915,30.3045
2009-07-16,166.2189,30.3397
2009-07-17,166.2000,30.3300
2009-07-18,166.4600,30.4200
2009-07-18,168.2213,29.5845
2009-07-19,168.3514,29.5261
2009-07-19,170.0300,29.1000
2009-07-19,173.1000,28.5500
2009-07-20,172.4900,29.0100
2009-07-21,172.2652,29.1514
2009-07-22,170.3100,29.1100
2009-07-22,175.1100,28.3400
2009-07-23,175.2428,28.2373
2009-07-23,179.4500,29.5100
2009-07-23,-178.5613,30.0095
2009-07-24,-178.4100,30.0400
2009-07-24,-176.4467,30.2152
2009-07-25,-176.2800,30.2500
2009-07-25,-176.1427,30.2856
2009-07-25,-175.5211,30.3412
2009-07-26,-174.1443,31.1021
2009-07-26,-174.0432,31.1517
2009-07-26,-173.4690,31.2573
2009-07-27,-173.2722,31.3837
2009-07-27,-173.0400,30.3000
2009-07-28,-172.3667,30.5460
2009-07-28,-172.2703,31.0304
2009-07-29,-146.9000,30.8333
2009-07-30,-144.9160,33.5410
2009-07-30,-142.9333,36.2500
2009-08-07,-137.1667,36.4500
2009-08-13,-158.0333,25.6667
2009-08-19,-157.3500,28.3667
2009-08-20,-155.1667,33.6500
2009-08-21,-151.1167,34.9333
2009-08-23,-147.0333,36.1167
2009-08-24,-142.1000,37.4833
2009-08-25,-138.0000,37.8500
2009-08-27,-154.2000,27.5667
2009-08-28,-150.6167,29.7333
2009-08-29,-148.8000,31.0667
2009-08-30,-147.4167,32.5667
